,,07.02.2022,Иллавара - Мельбурн Феникс,87:88,"(18:28, 20:19, 25:19, 24:22)"
,,10.02.2022,Мельбурн Феникс - Сидней,87:92,"(22:29, 17:14, 23:21, 25:28)"
,,11.02.2022,Брисбен - Аделаида,77:73,"(21:25, 15:13, 21:23, 20:12)"
,,12.02.2022,Иллавара - Кеарнс,87:81,"(29:28, 23:21, 17:14, 18:18)"
,,12.02.2022,Мельбурн - Перт,93:87,"(16:29, 37:19, 26:13, 14:26)"
,,13.02.2022,Мельбурн Феникс - Тасмания Джекджамперс,83:71,"(16:14, 22:26, 21:12, 24:19)"
,,13.02.2022,Сидней - Брисбен,71:69,"(17:20, 22:15, 15:22, 17:12)"
,,14.02.2022,Кеарнс - НЗ Брейкерс,83:84,"(12:30, 23:25, 32:14, 16:15)"
,,17.02.2022,Мельбурн - Мельбурн Феникс,94:87,"(30:17, 11:25, 23:26, 30:19)"
,,18.02.2022,Иллавара - Кеарнс,79:54,"(17:21, 24:16, 16:9, 22:8)"
,,19.02.2022,Мельбурн Феникс - Брисбен,98:94,"(30:23, 20:24, 27:24, 21:23)"
,,19.02.2022,Сидней - Перт,98:95,"(31:24, 14:27, 29:16, 24:28)"
,,20.02.2022,Аделаида - Кеарнс,82:71,"(9:23, 25:11, 20:13, 28:24)"
,,20.02.2022,Мельбурн - НЗ Брейкерс,108:73,"(30:20, 30:13, 24:11, 24:29)"
,,20.02.2022,Иллавара - Тасмания Джекджамперс,86:96,"(22:20, 21:26, 20:27, 23:23)"
,,24.02.2022,Кеарнс - Брисбен,73:69,"(32:19, 19:22, 9:12, 13:16)"
,,25.02.2022,Иллавара - Аделаида,87:71,"(26:20, 24:17, 12:20, 25:14)"
,,26.02.2022,Брисбен - Тасмания Джекджамперс,94:86,"(24:22, 29:22, 16:17, 25:25)"
,,26.02.2022,Мельбурн Феникс - Перт,86:80,"(21:15, 24:16, 18:26, 23:23)"
,,27.02.2022,Аделаида - Сидней,90:93,"(25:23, 22:22, 24:24, 19:24)"
,,27.02.2022,Кеарнс - Мельбурн,73:89,"(13:23, 22:25, 22:13, 16:28)"
,,28.02.2022,Тасмания Джекджамперс - Перт,78:89,"(22:16, 17:28, 12:20, 27:25)"
,,01.03.2022,НЗ Брейкерс - Иллавара,87:102,"(22:20, 25:29, 20:30, 20:23)"
,,04.03.2022,Аделаида - Мельбурн Феникс,76:83,"(25:26, 17:24, 12:15, 22:18)"
,,05.03.2022,Тасмания Джекджамперс - НЗ Брейкерс,66:62,"(23:19, 15:20, 12:14, 16:9)"
,,05.03.2022,Мельбурн - Брисбен,95:83,"(20:20, 16:17, 26:18, 33:28)"
,,06.03.2022,Аделаида - Перт,73:92,"(20:27, 14:23, 26:26, 13:16)"
,,06.03.2022,Сидней - Кеарнс,98:88,"(25:25, 22:19, 26:17, 25:27)"
,,06.03.2022,Мельбурн Феникс - Иллавара,77:83,"(18:18, 15:15, 22:24, 22:26)"
,,07.03.2022,НЗ Брейкерс - Брисбен,74:92,"(18:19, 13:20, 12:27, 31:26)"
,,10.03.2022,Мельбурн - Перт,87:97,"(25:26, 23:20, 16:23, 23:28)"
,,11.03.2022,Кеарнс - Тасмания Джекджамперс,69:85,"(19:15, 9:24, 15:18, 26:28)"
,,12.03.2022,Брисбен - Перт,83:95,"(17:15, 30:27, 8:26, 28:27)"
,,12.03.2022,НЗ Брейкерс - Аделаида,84:75,"(30:16, 16:24, 22:17, 16:18)"
,,13.03.2022,Тасмания Джекджамперс - Иллавара,81:77,"(16:15, 31:17, 15:20, 19:25)"
,,13.03.2022,Мельбурн Феникс - Мельбурн,90:98,"(30:29, 19:25, 24:12, 17:32)"
,,13.03.2022,Кеарнс - Сидней,77:86,"(15:27, 16:17, 20:21, 26:21)"
,,14.03.2022,НЗ Брейкерс - Перт,102:104 OT,"(17:24, 23:23, 28:20, 20:21, 14:16)"
,,17.03.2022,Иллавара - Мельбурн Феникс,103:97,"(30:20, 23:28, 31:18, 19:31)"
,,18.03.2022,Аделаида - Кеарнс,83:57,"(20:16, 24:23, 17:12, 22:6)"
,,19.03.2022,Тасмания Джекджамперс - Иллавара,65:91,"(26:17, 15:32, 12:22, 12:20)"
,,19.03.2022,Мельбурн Феникс - Сидней,89:91,"(22:23, 28:25, 17:22, 22:21)"
,,20.03.2022,Мельбурн - Аделаида,101:74,"(18:20, 28:21, 23:15, 32:18)"
,,20.03.2022,Брисбен - Кеарнс,88:98,"(12:32, 33:22, 21:25, 22:19)"
,,20.03.2022,Перт - НЗ Брейкерс,95:85,"(28:34, 15:15, 26:15, 26:21)"
,,24.03.2022,НЗ Брейкерс - Брисбен,100:101 OT,"(29:22, 28:24, 18:22, 13:20, 12:13)"
,,24.03.2022,Перт - Тасмания Джекджамперс,83:85,"(20:27, 28:19, 19:23, 16:16)"
,,25.03.2022,Кеарнс - Мельбурн Феникс,74:86,"(22:24, 16:19, 21:26, 15:17)"
,,26.03.2022,Брисбен - Тасмания Джекджамперс,82:84,"(16:24, 27:22, 15:17, 24:21)"
,,26.03.2022,Перт - Сидней,80:102,"(14:35, 25:29, 26:20, 15:18)"
,,27.03.2022,Аделаида - Мельбурн Феникс,100:92,"(25:18, 19:27, 25:18, 31:29)"
,,27.03.2022,Мельбурн - Иллавара,77:92,"(19:25, 16:21, 23:24, 19:22)"
,,27.03.2022,НЗ Брейкерс - Кеарнс,90:93,"(17:24, 28:19, 23:28, 22:22)"
,,31.03.2022,Иллавара - Брисбен,87:70,"(29:15, 24:24, 15:17, 19:14)"
,,01.04.2022,Аделаида - Тасмания Джекджамперс,72:80,"(15:24, 28:17, 19:17, 10:22)"
,,02.04.2022,Мельбурн - Иллавара,90:96,"(30:32, 20:15, 25:24, 15:25)"
,,02.04.2022,Кеарнс - Мельбурн Феникс,90:85,"(29:26, 27:22, 13:17, 21:20)"
,,03.04.2022,Тасмания Джекджамперс - Сидней,83:103,"(14:30, 15:27, 27:21, 27:25)"
,,03.04.2022,Брисбен - Аделаида,92:91,"(30:26, 21:24, 14:20, 27:21)"
,,04.04.2022,НЗ Брейкерс - Кеарнс,77:87,"(18:23, 22:24, 14:12, 23:28)"
,,04.04.2022,Перт - Мельбурн,75:84,"(23:25, 21:15, 18:22, 13:22)"
,,07.04.2022,Мельбурн Феникс - Мельбурн,88:90,"(24:29, 22:16, 23:17, 19:28)"
,,07.04.2022,Перт - НЗ Брейкерс,89:80,"(19:16, 25:20, 21:19, 24:25)"
,,08.04.2022,Тасмания Джекджамперс - Кеарнс,87:80,"(19:22, 21:27, 26:10, 21:21)"
,,09.04.2022,Брисбен - Иллавара,77:108,"(15:32, 24:22, 20:29, 18:25)"
,,09.04.2022,Аделаида - Сидней,77:84,"(18:19, 21:26, 12:19, 26:20)"
,,10.04.2022,НЗ Брейкерс - Мельбурн Феникс,89:99,"(25:23, 19:29, 10:25, 35:22)"
,,10.04.2022,Кеарнс - Мельбурн,63:92,"(20:28, 18:15, 10:28, 15:21)"
,,11.04.2022,Аделаида - Брисбен,85:93,"(24:23, 17:18, 15:25, 29:27)"
,,12.04.2022,НЗ Брейкерс - Сидней,70:76,"(20:17, 10:24, 23:17, 17:18)"
,,14.04.2022,Иллавара - Сидней,102:107 OT,"(23:24, 30:29, 22:25, 17:14, 10:15)"
,,14.04.2022,Перт - Аделаида,70:82,"(15:30, 23:19, 13:21, 19:12)"
,,15.04.2022,НЗ Брейкерс - Тасмания Джекджамперс,86:88,"(22:28, 22:17, 26:23, 16:20)"
,,16.04.2022,Мельбурн - Брисбен,88:79,"(23:26, 22:20, 16:15, 27:18)"
,,16.04.2022,Перт - Кеарнс,106:87,"(30:29, 25:19, 26:19, 25:20)"
,,17.04.2022,Мельбурн Феникс - Тасмания Джекджамперс,80:84,"(19:19, 29:17, 18:32, 14:16)"
,,17.04.2022,Сидней - Аделаида,82:90,"(21:19, 19:19, 21:24, 21:28)"
,,18.04.2022,Мельбурн - Кеарнс,92:80,"(19:18, 29:21, 20:14, 24:27)"
,,21.04.2022,Кеарнс - Сидней,77:87,"(17:18, 26:25, 6:19, 28:25)"
,,22.04.2022,Мельбурн Феникс - Аделаида,94:91,"(19:22, 22:27, 19:25, 34:17)"
,,22.04.2022,Перт - Иллавара,77:82,"(24:24, 21:26, 17:17, 15:15)"
,,23.04.2022,Тасмания Джекджамперс - Мельбурн,83:61,"(18:20, 15:17, 29:9, 21:15)"
,,23.04.2022,Кеарнс - Брисбен,112:98,"(20:25, 29:18, 32:18, 31:37)"
,,24.04.2022,НЗ Брейкерс - Аделаида,60:93,"(16:21, 18:20, 8:23, 18:29)"
,,24.04.2022,Сидней - Иллавара,84:87,"(18:32, 25:24, 28:17, 13:14)"
,,24.04.2022,Перт - Мельбурн Феникс,100:102 OT,"(25:22, 27:24, 17:20, 21:24, 10:12)"
